stop_id,stop_name,stop_lat,stop_lon
"822GA00058","St.Stephen's Green","53.339128708973","-6.26111748798404"
"822GA00062","Harcourt","53.3336509121028","-6.26269173695206"
"822GA00070","Charlemont","53.3306152452483","-6.25853598870766"
"822GA00071","Charlemont","53.3308338990275","-6.25873728482876"
"822GA00074","Ranelagh","53.326139822635","-6.25612105038534"
"822GA00075","Ranelagh","53.3261319365757","-6.25619643649453"
"822GA00083","Beechwood","53.3209234117233","-6.25466755130786"
"822GA00084","Beechwood","53.320931735949","-6.25462217836106"
"822GA00275","Cowper","53.3163934083453","-6.25344151996891"
"822GA00276","Cowper","53.3164010731402","-6.2533511500876"
"822GA00278","Milltown","53.3096724384224","-6.25174998445441"
"822GA00279","Milltown","53.3096715589899","-6.25168999189985"
"822GA00356","Kylemore","53.3265889562716","-6.34376337103717"
"822GA00357","Kylemore","53.3266344972522","-6.34380664554678"
"822GA00360","Bluebell","53.3292817872831","-6.33382500275916"
"822GA00361","Bluebell","53.3293185582209","-6.33388362503054"
"822GA00363","Blackhorse","53.3342630170598","-6.32753451321294"
"822GA00364","Blackhorse","53.334299370295","-6.32756312200434"
"822GA00366","Drimnagh","53.3353461945075","-6.31827231820978"
"822GA00367","Drimnagh","53.3353913214121","-6.31828555865667"
"822GA00369","Goldenbridge","53.335914285121","-6.31330963762211"
"822GA00370","Goldenbridge","53.3359596247164","-6.31333788082316"
"822GA00372","Suir Road","53.3365921771526","-6.30723125795765"
"822GA00373","Suir Road","53.3366375181349","-6.30725949511103"
"822GA00375","Rialto","53.3378991889509","-6.29738845667397"
"822GA00376","Rialto","53.3379445321773","-6.29741668416631"
"822GA00378","Fatima","53.338417448678","-6.29277257068148"
"822GA00379","Fatima","53.3384625781829","-6.29278578501988"
"822GA00381","James's","53.3418126087839","-6.29323766222323"
"822GA00382","James's","53.3417777506224","-6.29331414603487"
"822GA00386","Heuston","53.3466812805465","-6.29178148979066"
"822GA00387","Heuston","53.346682355141","-6.29185654699596"
"822GA00389","Museum","53.3478792135209","-6.2869420647211"
"822GA00390","Museum","53.3479153606727","-6.28695563578207"
"822GA00398","Smithfield","53.3471135023683","-6.27808080493658"
"822GA00399","Smithfield","53.3471496504704","-6.27809436824868"
"822GA00401","Four Courts","53.3468518865013","-6.27366041080432"
"822GA00402","Four Courts","53.3468876006695","-6.27364394754559"
"822GA00404","Jervis","53.3476830068047","-6.26527546402985"
"822GA00405","Jervis","53.3477099552112","-6.2652743697936"
"822GA00408","Abbey Street","53.3485637203993","-6.2584803582757"
"822GA00409","Abbey Street","53.3485908878216","-6.25849427156772"
"822GA00420","Busáras","53.3501166497177","-6.25158234663218"
"822GA00421","Busáras","53.3501519206725","-6.25153583898207"
"822GA00423","Connolly","53.3509834907561","-6.25001465932888"
"822GA00424","Connolly","53.3510029974836","-6.25011901173232"
"822GA00427","George's Dock","53.3494286142281","-6.24756983199852"
"822GA00428","George's Dock","53.3494735278029","-6.24756798954513"
"822GA00430","Mayor Square - NCI","53.3491676359234","-6.24326950689034"
"822GA00431","Mayor Square - NCI","53.3492035667022","-6.24326802932619"
"822GA00433","Spencer Dock","53.3487804260116","-6.23712686504906"
"822GA00434","Spencer Dock","53.3488253393399","-6.2371250116634"
"822GA00436","The Point","53.3482763518136","-6.22918667965209"
"822GA00437","The Point","53.3483482128374","-6.22918370093491"
"822GA00440","Harcourt","53.3336246192981","-6.26273785213714"
"823GA00338","Cookstown","53.2932931595014","-6.38408479509437"
"823GA00339","Cookstown","53.2932576321259","-6.38411613830426"
"823GA00341","Hospital","53.2893482491041","-6.37884879054193"
"823GA00342","Hospital","53.2893133345387","-6.37892511107301"
"823GA00344","Tallaght","53.2874574706805","-6.37464564744776"
"823GA00345","Tallaght","53.2874029572559","-6.37460271962691"
"823GA00347","Belgard","53.2992453188537","-6.37497819204135"
"823GA00348","Belgard","53.2992914617308","-6.37506645933542"
"823GA00350","Kingswood","53.3036450480884","-6.36544815713673"
"823GA00351","Kingswood","53.3036907869071","-6.36550642913277"
"823GA00353","Red Cow","53.3167459644448","-6.36978055275248"
"823GA00354","Red Cow","53.3167288179034","-6.36984124363596"
"823GA00392","Fettercairn","53.2933175201804","-6.39587472807755"
"823GA00393","Fettercairn","53.2933722278268","-6.39593268245187"
"823GA00395","Cheeverstown","53.2910061402436","-6.4064915096011"
"823GA00396","Cheeverstown","53.2910516589505","-6.40653481614152"
"823GA00412","Citywest Campus","53.2877997570853","-6.41882011133547"
"823GA00413","Citywest Campus","53.2878642325118","-6.41893772329122"
"823GA00415","Fortunestown","53.2842559530261","-6.42474013039955"
"823GA00416","Fortunestown","53.2843100527939","-6.42475313819878"
"823GA00418","Saggart","53.2847775062216","-6.43773921457577"
"823GA00419","Saggart","53.2848228174167","-6.43776755755448"
"825GA00281","Windy Arbour","53.3017475638249","-6.2507083607334"
"825GA00282","Windy Arbour","53.3017466839581","-6.25064837931921"
"825GA00286","Dundrum","53.2923905211743","-6.24518032276029"
"825GA00287","Dundrum","53.2924255697923","-6.24511888166817"
"825GA00291","Balally","53.2860547121413","-6.23671065468435"
"825GA00292","Balally","53.2860985175201","-6.23663385627564"
"825GA00293","Sandyford","53.2776301919892","-6.20462123372981"
"825GA00294","Sandyford","53.2776744279957","-6.20457439139802"
"825GA00295","Kilmacud","53.2829105207139","-6.22410700107201"
"825GA00296","Kilmacud","53.2829644169277","-6.22410476594955"
"825GA00297","Stillorgan","53.2793614400627","-6.21036733964785"
"825GA00298","Stillorgan","53.2794146609887","-6.21032012590035"
"825GA00310","Central Park","53.2701680261693","-6.20389941956604"
"825GA00311","Central Park","53.2701033417103","-6.20378218443988"
"825GA00313","Glencairn","53.2663248994713","-6.21013229223215"
"825GA00314","Glencairn","53.2662678538822","-6.20992478703001"
"825GA00316","The Gallops","53.2610932093991","-6.20591369676934"
"825GA00317","The Gallops","53.2611462033569","-6.20585151740365"
"825GA00319","Leopardstown Valley","53.2582472581284","-6.19838832357201"
"825GA00320","Leopardstown Valley","53.2583007009795","-6.19835609866361"
"825GA00322","Ballyogan Wood","53.2549979541227","-6.18446604619674"
"825GA00323","Ballyogan Wood","53.2550691300511","-6.18441806716439"
"825GA00325","Carrickmines","53.2543609054348","-6.17160341902405"
"825GA00326","Carrickmines","53.2544053583289","-6.17157154706945"
"825GA00329","Laughanstown","53.2505997126709","-6.15500876900899"
"825GA00330","Laughanstown","53.2506347149286","-6.15494731602478"
"825GA00332","Cherrywood","53.2453444110287","-6.14592931488556"
"825GA00333","Cherrywood","53.2453876920787","-6.14582254949786"
"825GA00335","Brides Glen","53.2418708352915","-6.14278309230559"
"825GA00336","Brides Glen","53.2418717686749","-6.14284298641844"
"gen:57102:3567:1","Dawson","53.3421747760092","-6.25797481079348"
"gen:57102:3569:1","Westmoreland","53.3463598738878","-6.25897573265942"
"gen:57102:3570:1","O'Connell - GPO","53.3488448095802","-6.25988086113834"
"gen:57102:3571:1","O'Connell Upper","53.3516119242553","-6.26102997364648"
"gen:57102:3573:1","Parnell","53.3531052634032","-6.26050348365009"
"gen:57102:3575:1","Marlborough","53.3492448734525","-6.25773158174389"
"gen:57102:3576:1","Trinity Luas Stop","53.3452797501246","-6.25825374630148"
"gen:57102:3577:1","Dominick","53.3513451173962","-6.265547356884"
"gen:57102:3584:1","Broadstone - DIT","53.3540707527996","-6.27375924291229"
"gen:57102:3585:1","Grangegorman","53.3571964802048","-6.27734377414817"
"gen:57102:3586:1","Phibsborough","53.3603735102972","-6.2788833745237"
"gen:57102:3587:1","Cabra","53.3643367750274","-6.28196929164465"
"gen:57102:3588:1","Broombridge","53.3722378096567","-6.2976872701795"
